pixel,gal_lon,gal_lat,weight,str_used
112,88.79976,-1.6023642,0.40660805,1
113,90.620995,-1.37719,0.7303075,1
114,87.97365,1.7107047,0.23839258,1
115,90.68446,1.6899648,0.929294,1
116,93.02461,-1.4658133,0.7734655,1
117,95.214325,-1.1090928,1.4581712,1
118,93.00563,1.5962956,0.6631776,1
119,95.11633,1.5273004,1.2621082,1
120,88.09002,4.4061766,0.16694519,1
121,90.79808,4.397918,0.6656778,1
122,87.29494,7.089884,0.29087576,1
123,90.65656,7.334435,0.2349792,1
124,92.85098,4.434344,0.8240751,1
125,95.19608,4.3831825,1.487731,1
126,92.489914,7.1323757,0.84179854,1
127,95.37619,7.2192545,1.1724294,1
128,52.92411,6.8869524,0.028656138,1
130,53.886322,8.617754,0.7570854,1
131,56.2445,9.589655,0.14958835,1
132,61.703438,6.782639,0.12320478,1
133,63.93176,7.71672,1.0833111,1
135,64.142296,9.657375,0.010985542,1
136,53.367775,10.533099,0.73520935,1
137,56.307705,11.2168865,0.940347,1
138,52.066517,12.429615,0.7281464,1
139,55.5702,13.23783,0.71228766,1
140,59.257923,12.239475,0.40024993,1
142,58.633327,13.772616,0.8898447,1
143,61.619156,14.948045,0.92837226,1
144,66.60127,8.532396,1.2589766,1
145,69.05451,8.875713,0.91468537,1
146,66.47427,10.355084,0.6429448,1
147,68.926506,11.141198,1.1358722,1
148,72.18623,8.8898325,0.83548707,1
149,74.65248,9.070085,0.6857467,1
150,71.280876,11.570402,1.1491456,1
151,74.50172,11.557805,0.74781054,1
153,68.796135,13.02968,0.38279742,1
154,63.84402,15.754342,0.20438851,1
156,71.31164,13.713304,1.168398,1
157,73.68085,14.319549,1.3428222,1
158,71.44593,15.429929,0.17587912,1
159,73.50827,16.38923,0.8996259,1
160,51.838783,14.542481,0.8061499,1
161,54.69827,15.107932,0.7122989,1
162,51.037136,16.429365,0.99646395,1
163,54.17571,17.23175,1.0706166,1
164,57.745068,16.123543,0.8864633,1
165,60.955807,16.80536,0.86458844,1
166,57.29799,18.386501,0.98190325,1
167,60.299747,18.996084,1.0283631,1
168,50.218945,18.381588,1.3158591,1
169,53.364895,19.447348,1.3839593,1
170,49.7417,20.052696,0.8577459,1
171,52.691032,21.347004,1.1184517,1
172,56.349155,20.366224,1.9298867,1
173,59.519184,21.23892,2.1370313,1
174,55.795826,22.405548,1.584644,1
175,58.890884,23.598434,1.9410452,1
176,64.08937,17.37314,1.0337957,1
177,66.80485,18.4797,0.6772339,1
178,63.28998,19.683334,1.055669,1
179,66.338936,20.114548,0.9311197,1
180,68.652435,19.112526,0.12962912,1
181,74.278244,18.168491,0.005188566,1
182,69.11087,20.959599,0.9823051,1
183,71.70623,21.724297,0.5596659,1
184,62.607353,22.044807,2.1914062,1
185,65.56624,22.659056,1.9197944,1
186,61.96231,24.312681,2.1303856,1
187,65.00818,24.933245,2.6047637,1
188,68.54661,23.313852,1.7283975,1
189,71.64281,23.82505,1.802569,1
190,67.9994,25.63374,2.7906923,1
191,71.04059,26.24352,3.2374222,1
192,77.28078,9.3413515,0.89396226,1
193,80.409454,9.898553,0.25169942,1
194,76.92243,11.775794,0.73527825,1
195,79.50642,12.152051,0.9403913,1
196,81.48605,10.616908,0.013115623,1
197,84.12794,9.7546015,0.011013005,1
198,82.222275,12.398583,0.031900827,1
199,85.31162,12.772874,0.10649227,1
200,76.29004,14.5966425,0.84548,1
201,79.29006,14.458567,0.6791425,1
202,76.00389,16.934006,1.1761633,1
203,78.49498,17.316446,0.9838127,1
204,81.46948,15.056778,0.46994793,1
205,84.50072,15.240754,0.18128724,1
206,81.63587,17.236885,0.8780012,1
207,83.906044,17.700247,0.5867196,1
208,87.65147,10.184952,0.06789913,1
209,90.724945,9.95144,0.15265782,1
210,87.34831,12.27811,0.31079528,1
212,92.93178,9.920785,0.5664564,1
213,95.22185,10.031898,0.9425933,1
214,92.895615,12.562973,0.19045632,1
215,95.20355,12.670099,0.94471294,1
216,86.09914,15.783018,0.052338704,1
218,85.80885,17.73414,0.035063315,1
220,93.41977,14.911444,0.026656905,1
221,95.42872,15.328628,0.61488426,1
223,95.72858,17.599977,0.2617225,1
224,76.15425,18.685863,0.594362,1
225,78.517586,19.628614,1.4511331,1
226,73.99729,22.791002,0.13094036,1
